,FlrOnset,Flrmaxtime,Flrendtime,FlrPeakFlux,Flareq,xrsclass,optclass,optlocation,region,radiopatrol,TypeII,TypeIIDur,TypeIV,TypeIVDur,cmepatrol,cmeonset,cmespeed,satid,FlrHpTime,FlrIntFlux,FlrIntFlux2,IntFluxQ,tmewe,emmewe,tchianti,emchianti,Association,S1,S2,S3,S4,S5,GT100,Width,sep,1MHz_fluence,1MHz_close_freq,typeIII_int,FlarePersistence
1271,1990-01-20T13:22:00.000,1990-01-20T13:29:00.000,1990-01-20T14:05:00.000,5.61e-05,16.0,M5.6,1B,S11E31,5890,Yes,0,-1.0,0,-1.0,No,,,G7,1990-01-20T13:34:00.000,0.027,0.0237,,20.7,49.5,19.5,49.3,None,,,,,,,,0,,,,4.2000000000000004e-05
1272,1990-01-20T17:02:00.000,1990-01-20T17:42:00.000,1990-01-20T18:12:00.000,9.35e-06,16.0,C9.3,SF,N21W37,5882,,0,-1.0,0,-1.0,No,,,G7,1990-01-20T18:11:00.000,0.0288,0.0146,,9.69,49.3,11.0,48.8,None,,,,,,,,0,,,,5.6e-05
1273,1990-01-21T02:42:00.000,1990-01-21T03:07:00.000,1990-01-21T03:25:00.000,8.89e-06,16.0,C8.8,SF,N21W41,5882,,0,-1.0,0,-1.0,No,,,G7,1990-01-21T03:24:00.000,0.0175,0.0116,,12.1,49.3,13.0,48.8,None,,,,,,,,0,,,,5.6e-05
1274,1990-01-21T04:23:00.000,1990-01-21T04:46:00.000,1990-01-21T05:16:00.000,6.9e-05,-1.0,M6.9,1N,S11E22,5890,Yes,1,23.0,0,-1.0,No,,,G7,1990-01-21T04:55:00.000,0.0543,0.0504,,17.7,49.6,17.2,49.4,None,,,,,,,,0,,,,5.6e-05
1275,1990-01-21T15:44:00.000,1990-01-21T16:35:00.000,1990-01-21T18:03:00.000,1.6e-05,16.0,M1.5,1N,S28E39,5892,,0,-1.0,0,-1.0,No,,,G7,1990-01-21T17:09:00.000,0.0504,0.0398,,11.1,49.4,12.1,48.9,None,,,,,,,,0,,,,6.900000000000001e-05
1276,1990-01-22T05:37:00.000,1990-01-22T05:55:00.000,1990-01-22T06:25:00.000,1.25e-05,16.0,M1.2,1N,S12E09,5890,,0,-1.0,0,-1.0,No,,,G7,1990-01-22T06:02:00.000,0.00969,0.00589,,12.4,49.3,13.2,48.8,None,,,,,,,,0,,,,6.900000000000001e-05
1277,1990-01-22T11:43:00.000,1990-01-22T12:00:00.000,1990-01-22T12:36:00.000,1.58e-05,16.0,M1.5,1N,S26E19,5892,Yes,0,-1.0,0,-1.0,No,,,G7,1990-01-22T12:20:00.000,0.025,0.0193,,12.8,49.3,13.6,48.9,None,,,,,,,,0,,,,1.6000000000000003e-05
1278,1990-01-22T21:08:00.000,1990-01-22T21:32:00.000,1990-01-22T22:29:00.000,3.73e-06,-1.0,C3.7,1F,S12E38,5897,,0,-1.0,0,-1.0,No,,,G7,1990-01-22T22:18:00.000,0.0125,0.00544,,6.5,49.4,7.82,48.7,None,,,,,,,,0,,,,1.5000000000000002e-05
1279,1990-01-24T19:56:00.000,1990-01-24T20:21:00.000,1990-01-24T20:49:00.000,1.72e-05,16.0,M1.7,2B,S28W04,5892,,0,-1.0,0,-1.0,No,,,G7,1990-01-24T20:33:00.000,0.0227,0.0183,,12.0,49.4,12.9,48.9,None,,,,,,,,0,,,,6.5e-06
1280,1990-01-29T20:03:00.000,1990-01-29T21:32:00.000,1990-01-29T22:36:00.000,1.53e-05,16.0,M1.5,1F,S23W76,5892,Yes,1,14.0,0,-1.0,No,,,G7,1990-01-29T22:11:00.000,0.0616,0.0508,,9.65,49.4,11.0,48.9,None,,,,,,,,0,,,,5.9e-06
1281,1990-02-01T01:52:00.000,1990-02-01T02:10:00.000,1990-02-01T02:28:00.000,5.43e-06,-1.0,C5.4,SF,S18W77,5897,Yes,0,-1.0,0,-1.0,No,,,G7,1990-02-01T02:28:00.000,0.0087,0.00486,,8.45,49.3,9.87,48.7,None,,,,,,,,0,,,,6e-06
1282,1990-02-02T19:32:00.000,1990-02-02T20:06:00.000,1990-02-02T20:21:00.000,4.36e-06,16.0,C4.3,SF,S09W79,5900,,0,-1.0,0,-1.0,No,,,G7,1990-02-02T20:21:00.000,0.00866,0.00604,,8.37,49.4,9.8,48.8,None,,,,,,,,0,,,,4e-06
1283,1990-02-03T01:06:00.000,1990-02-03T01:11:00.000,1990-02-03T01:23:00.000,6.95e-05,-1.0,M6.9,2F,S13W81,5900,Yes,0,-1.0,1,75.0,No,,,G7,1990-02-03T01:15:00.000,0.0231,0.0225,,19.5,49.6,18.6,49.4,None,,,,,,,,0,,,,4.4e-06
1284,1990-02-03T06:33:00.000,1990-02-03T06:55:00.000,1990-02-03T07:34:00.000,4.16e-06,16.0,C4.1,SF,N16W51,5913,Yes,0,-1.0,0,-1.0,No,,,G7,1990-02-03T07:34:00.000,0.0111,0.00672,,8.29,49.3,9.72,48.7,None,,,,,,,,0,,,,6.900000000000001e-05
1285,1990-02-04T13:05:00.000,1990-02-04T14:04:00.000,1990-02-04T14:46:00.000,2.96e-06,16.0,C2.9,SF,N14W19,5920,Yes,0,-1.0,0,-1.0,No,,,G7,1990-02-04T14:46:00.000,0.0142,0.00734,,6.77,49.2,8.12,48.6,None,,,,,,,,0,,,,3.2e-06
1286,1990-02-05T16:55:00.000,1990-02-05T17:07:00.000,1990-02-05T17:16:00.000,9.73e-06,-1.0,C9.7,SF,N14W87,5904,,0,-1.0,0,-1.0,No,,,G7,1990-02-05T17:15:00.000,0.00803,0.00602,,12.5,49.1,13.3,48.6,None,,,,,,,,0,,,,3.2999999999999997e-06
1287,1990-02-06T11:14:00.000,1990-02-06T11:46:00.000,1990-02-06T12:50:00.000,2.81e-06,16.0,C2.8,SF,N24W54,5914,Yes,0,-1.0,0,-1.0,No,,,G7,1990-02-06T12:50:00.000,0.0133,0.00574,,6.61,49.2,7.95,48.5,None,,,,,,,,0,,,,9.699999999999999e-06
1289,1990-02-22T14:29:00.000,1990-02-22T14:53:00.000,1990-02-22T15:29:00.000,1.26e-05,-1.0,M1.2,1N,S20E41,5947,Yes,0,-1.0,0,-1.0,No,,,G7,1990-02-22T15:19:00.000,0.0236,0.0196,,12.9,49.3,13.6,48.8,None,,,,,,,,0,,,,4.1e-06
1290,1990-02-23T12:49:00.000,1990-02-23T12:58:00.000,1990-02-23T13:34:00.000,2.92e-05,16.0,M2.9,2B,S19E28,5947,Yes,0,-1.0,0,-1.0,No,,,G7,1990-02-23T13:07:00.000,0.0175,0.0159,,15.5,49.4,15.6,49.1,None,,,,,,,,0,,,,1.2e-05
1291,1990-02-27T14:37:00.000,1990-02-27T15:43:00.000,1990-02-27T17:30:00.000,8.22e-06,-1.0,C8.2,SF,N31E63,5961,,0,-1.0,0,-1.0,No,,,G7,1990-02-27T16:06:00.000,0.0244,0.0162,,10.9,49.2,12.0,48.6,None,,,,,,,,0,,,,8.099999999999999e-06
1292,1990-02-27T23:21:00.000,1990-02-27T23:37:00.000,1990-02-28T00:17:00.000,1.71e-05,16.0,M1.7,1F,N29E54,5961,Yes,0,-1.0,0,-1.0,No,,,G7,1990-02-27T23:51:00.000,0.0199,0.0172,,14.0,49.2,14.4,48.9,None,,,,,,,,0,,,,7.4e-06
1293,1990-02-28T04:54:00.000,1990-02-28T05:21:00.000,1990-02-28T05:59:00.000,2.69e-05,16.0,M2.6,SN,N34E50,5961,Yes,0,-1.0,0,-1.0,No,,,G7,1990-02-28T05:59:00.000,0.076,0.064,,16.3,49.4,16.2,49.1,None,,,,,,,,0,,,,1.7e-05
1294,1990-02-28T12:37:00.000,1990-02-28T13:22:00.000,1990-02-28T13:51:00.000,6.61e-06,16.0,C6.6,1F,N30E43,5961,Yes,1,3.0,1,33.0,No,,,G7,1990-02-28T13:51:00.000,0.0173,0.0113,,8.1,49.4,9.53,48.7,None,,,,,,,,0,,,,2.7000000000000002e-05
1295,1990-02-28T17:14:00.000,1990-02-28T18:17:00.000,1990-02-28T19:20:00.000,1.21e-05,144.0,M1.2,SF,N14W30,5948,,0,-1.0,0,-1.0,No,,,G7,1990-02-28T18:24:00.000,0.0261,0.0154,,9.86,49.3,11.2,48.8,None,,,,,,,,0,,,,2.7000000000000002e-05
1296,1990-03-01T03:36:00.000,1990-03-01T03:43:00.000,1990-03-01T03:58:00.000,1.99e-05,-1.0,M1.9,1B,N30E39,5961,,0,-1.0,0,-1.0,No,,,G6,1990-03-01T03:53:00.000,0.0138,0.0121,,12.4,49.5,13.2,49.0,None,,,,,,,,0,,,,2.7000000000000002e-05
1297,1990-03-01T04:00:00.000,1990-03-01T04:10:00.000,1990-03-01T04:36:00.000,1.71e-05,16.0,M1.7,2N,S19W45,5947,,0,-1.0,0,-1.0,No,,,G7,1990-03-01T04:18:00.000,0.0148,0.00609,,10.8,49.4,11.9,48.9,None,,,,,,,,0,,,,2.7000000000000002e-05
1298,1990-03-01T05:26:00.000,1990-03-01T05:35:00.000,1990-03-01T05:53:00.000,1.88e-05,-1.0,M1.8,1N,N31E34,-1,,0,-1.0,0,-1.0,No,,,G7,1990-03-01T05:44:00.000,0.0129,0.0104,,15.6,49.3,15.6,48.9,None,,,,,,,,0,,,,1.9e-05
1299,1990-03-02T00:49:00.000,1990-03-02T01:58:00.000,1990-03-02T02:42:00.000,1.26e-05,16.0,M1.2,SF,N30E24,5961,,0,-1.0,0,-1.0,No,,,G7,1990-03-02T02:41:00.000,0.0571,0.0479,,10.5,49.4,11.7,48.9,None,,,,,,,,0,,,,1.9e-05
1300,1990-03-02T08:19:00.000,1990-03-02T08:36:00.000,1990-03-02T08:56:00.000,6.32e-06,-1.0,C6.3,SF,N32E21,5961,Yes,0,-1.0,0,-1.0,No,,,G7,1990-03-02T08:55:00.000,0.00995,0.00662,,10.7,49.3,11.9,48.7,None,,,,,,,,0,,,,1.2e-05
1301,1990-03-03T16:27:00.000,1990-03-03T16:56:00.000,1990-03-03T17:21:00.000,8.45e-06,-1.0,C8.4,SF,N31E05,5961,,0,-1.0,0,-1.0,No,,,G7,1990-03-03T17:21:00.000,0.0183,0.0145,,12.8,49.1,13.6,48.6,None,,,,,,,,0,,,,8.599999999999999e-06
1302,1990-03-03T20:04:00.000,1990-03-03T20:42:00.000,1990-03-03T22:09:00.000,1.16e-05,16.0,M1.1,SF,S12W76,5945,,0,-1.0,0,-1.0,No,,,G7,1990-03-03T21:40:00.000,0.0459,0.0383,,11.9,49.2,12.8,48.8,None,,,,,,,,0,,,,8.599999999999999e-06
1306,1990-03-13T06:47:00.000,1990-03-13T07:20:00.000,1990-03-13T07:31:00.000,6.18e-06,16.0,C6.1,SF,N31E36,5969,,0,-1.0,0,-1.0,No,,,G7,1990-03-13T07:30:00.000,0.0101,0.00727,,7.87,49.1,9.29,48.5,None,,,,,,,,0,,,,9.1e-06
1307,1990-03-13T21:41:00.000,1990-03-13T21:55:00.000,1990-03-13T22:12:00.000,1.13e-05,-1.0,M1.1,1N,N32E28,5969,,0,-1.0,0,-1.0,No,,,G7,1990-03-13T22:07:00.000,0.013,0.0101,,13.7,49.1,14.2,48.7,None,,,,,,,,0,,,,1.1000000000000001e-05
1308,1990-03-14T03:32:00.000,1990-03-14T05:32:00.000,1990-03-14T06:25:00.000,7.36e-06,144.0,C7.3,1F,N33E25,5969,,0,-1.0,0,-1.0,No,,,G7,1990-03-14T05:44:00.000,0.0371,0.0285,,10.8,49.2,11.9,48.6,None,,,,,,,,0,,,,1.1000000000000001e-05
1309,1990-03-14T17:42:00.000,1990-03-14T18:44:00.000,1990-03-14T19:35:00.000,7.05e-06,16.0,C7.0,SF,S35E75,5974,,0,-1.0,0,-1.0,No,,,G7,1990-03-14T19:35:00.000,0.0342,0.0265,,7.6,49.2,9.02,48.7,None,,,,,,,,0,,,,1.1000000000000001e-05
1312,1990-03-16T14:28:00.000,1990-03-16T15:10:00.000,1990-03-16T15:50:00.000,4.78e-06,16.0,C4.7,1F,N15E63,5978,Yes,0,-1.0,0,-1.0,No,,,G7,1990-03-16T15:50:00.000,0.0166,0.0106,,8.1,49.3,9.53,48.7,None,,,,,,,,0,,,,6.4e-06
1314,1990-03-18T00:20:00.000,1990-03-18T01:10:00.000,1990-03-18T02:38:00.000,7.23e-06,16.0,C7.2,1F,N36W22,5969,,0,-1.0,0,-1.0,No,,,G7,1990-03-18T01:45:00.000,0.0249,0.0181,,9.34,49.3,10.7,48.7,None,,,,,,,,0,,,,6.9e-06
1315,1990-03-18T10:42:00.000,1990-03-18T11:27:00.000,1990-03-18T12:01:00.000,3.29e-05,16.0,M3.2,1B,S35E31,5974,Yes,1,15.0,0,-1.0,No,,,G7,1990-03-18T11:37:00.000,0.0311,0.0266,,15.2,49.4,15.4,49.1,None,,,,,,,,0,,,,7.2e-06
1316,1990-03-18T13:21:00.000,1990-03-18T14:02:00.000,1990-03-18T15:15:00.000,9.55e-06,-1.0,C9.5,1N,N19E36,5978,Yes,0,-1.0,0,-1.0,No,,,G7,1990-03-18T14:16:00.000,0.0149,0.00875,,10.0,49.3,11.3,48.8,None,,,,,,,,0,,,,3.2000000000000005e-05
1317,1990-03-19T03:29:00.000,1990-03-19T03:37:00.000,1990-03-19T04:23:00.000,1.31e-05,16.0,M1.3,2N,N31W42,5969,,0,-1.0,0,-1.0,No,,,G7,1990-03-19T03:59:00.000,0.0165,0.0133,,14.9,49.2,15.1,48.7,None,,,,,,,,0,,,,3.2000000000000005e-05
1318,1990-03-19T04:35:00.000,1990-03-19T05:07:00.000,1990-03-19T08:53:00.000,0.000156,16.0,X1.5,2B,N31W43,5969,Yes,1,27.0,1,78.0,No,,,G7,1990-03-19T05:15:00.000,0.218,0.205,,20.7,50.0,19.4,49.8,ProtonFlare 1,990-03-19T06:15:00.000,,,,,,,1,,,,3.2000000000000005e-05
1319,1990-03-19T13:08:00.000,1990-03-19T13:20:00.000,1990-03-19T13:36:00.000,1.34e-05,-1.0,M1.3,1N,S34E66,5983,Yes,0,-1.0,0,-1.0,No,,,G7,1990-03-19T13:27:00.000,0.00972,0.00639,,11.5,49.4,12.5,48.8,None,,,,,,,,0,,,,0.00015000000000000001
1320,1990-03-19T13:47:00.000,1990-03-19T13:53:00.000,1990-03-19T14:00:00.000,4.22e-05,-1.0,M4.2,1N,S14E69,5987,Yes,0,-1.0,0,-1.0,No,,,G7,1990-03-19T13:55:00.000,0.0102,0.00805,,19.2,49.4,18.4,49.1,None,,,,,,,,0,,,,0.00015000000000000001
1321,1990-03-20T15:13:00.000,1990-03-20T15:21:00.000,1990-03-20T16:16:00.000,1.23e-05,16.0,M1.2,1N,S36E53,5983,Yes,0,-1.0,0,-1.0,No,,,G7,1990-03-20T15:54:00.000,0.0202,0.0167,,10.5,49.3,11.7,48.8,None,,,,,,,,0,,,,8.8e-06
1322,1990-03-20T22:54:00.000,1990-03-20T23:08:00.000,1990-03-20T23:48:00.000,1.85e-05,16.0,M1.8,1F,S33W05,5974,,0,-1.0,0,-1.0,No,,,G7,1990-03-20T23:16:00.000,0.0172,0.0074,,11.8,49.5,12.7,49.0,None,,,,,,,,0,,,,2.1000000000000002e-05
1323,1990-03-21T02:34:00.000,1990-03-21T03:10:00.000,1990-03-21T03:23:00.000,6.64e-06,16.0,C6.6,1F,S13E36,5984,,0,-1.0,0,-1.0,No,,,G7,1990-03-21T03:23:00.000,0.016,0.00803,,8.2,49.3,9.63,48.7,None,,,,,,,,0,,,,2.1000000000000002e-05
1324,1990-03-21T08:05:00.000,1990-03-21T08:35:00.000,1990-03-21T08:58:00.000,5.47e-06,16.0,C5.4,SF,S13E35,5984,Yes,0,-1.0,0,-1.0,No,,,G7,1990-03-21T08:58:00.000,0.0127,0.00579,,7.46,49.1,8.87,48.6,None,,,,,,,,0,,,,2.1000000000000002e-05
1325,1990-03-21T20:07:00.000,1990-03-21T20:30:00.000,1990-03-21T20:48:00.000,6.4e-06,16.0,C6.3,SF,S36W09,5974,,0,-1.0,0,-1.0,No,,,G7,1990-03-21T20:48:00.000,0.01,0.00659,,10.4,49.4,11.6,48.8,None,,,,,,,,0,,,,2.1000000000000002e-05
1326,1990-03-22T05:25:00.000,1990-03-22T05:58:00.000,1990-03-22T08:00:00.000,1.16e-05,16.0,M1.1,SF,S14E21,5984,,0,-1.0,0,-1.0,No,,,G7,1990-03-22T06:27:00.000,0.0327,0.0266,,12.7,49.3,13.5,48.8,None,,,,,,,,0,,,,7.499999999999999e-06
1327,1990-03-22T11:45:00.000,1990-03-22T12:52:00.000,1990-03-22T13:16:00.000,4.49e-06,16.0,C4.4,SF,S34W25,5974,Yes,0,-1.0,0,-1.0,No,,,G7,1990-03-22T13:15:00.000,0.017,0.0071,,7.75,49.3,9.17,48.7,None,,,,,,,,0,,,,1.1000000000000001e-05
1328,1990-03-22T13:57:00.000,1990-03-22T14:42:00.000,1990-03-22T15:20:00.000,4.67e-06,-1.0,C4.6,SF,S39E35,5983,Yes,0,-1.0,0,-1.0,No,,,G7,1990-03-22T14:51:00.000,0.0107,0.00408,,7.22,49.5,8.61,48.8,None,,,,,,,,0,,,,1.1000000000000001e-05
1329,1990-03-22T18:17:00.000,1990-03-22T18:45:00.000,1990-03-22T20:02:00.000,9.57e-06,16.0,C9.5,SF,S13E12,5984,,0,-1.0,0,-1.0,No,,,G7,1990-03-22T19:35:00.000,0.0325,0.0175,,9.47,49.4,10.8,48.8,None,,,,,,,,0,,,,1.1000000000000001e-05
1330,1990-03-23T00:10:00.000,1990-03-23T00:27:00.000,1990-03-23T00:45:00.000,7.31e-06,-1.0,C7.3,1F,S06E33,5988,,0,-1.0,0,-1.0,No,,,G7,1990-03-23T00:45:00.000,0.0111,0.00556,,9.32,49.4,10.7,48.7,None,,,,,,,,0,,,,1.1000000000000001e-05
1331,1990-03-23T06:11:00.000,1990-03-23T06:26:00.000,1990-03-23T07:59:00.000,8.22e-06,16.0,C8.2,SF,S34W34,5974,,0,-1.0,0,-1.0,No,,,G7,1990-03-23T07:11:00.000,0.0212,0.0133,,9.32,49.4,10.7,48.7,None,,,,,,,,0,,,,1.1000000000000001e-05
1332,1990-03-23T15:51:00.000,1990-03-23T16:35:00.000,1990-03-23T16:42:00.000,5.11e-06,16.0,C5.1,SF,S07E22,5988,,0,-1.0,0,-1.0,No,,,G7,1990-03-23T16:41:00.000,0.0104,0.0042,,8.16,49.3,9.59,48.6,None,,,,,,,,0,,,,1.2e-05
1333,1990-03-24T04:53:00.000,1990-03-24T05:12:00.000,1990-03-24T05:32:00.000,1.22e-05,16.0,M1.2,SF,S06E18,5988,,0,-1.0,0,-1.0,No,,,G7,1990-03-24T05:25:00.000,0.016,0.0118,,13.6,49.3,14.1,48.8,None,,,,,,,,0,,,,1.5000000000000002e-05
1334,1990-03-25T04:15:00.000,1990-03-25T04:24:00.000,1990-03-25T04:45:00.000,6.43e-06,16.0,C6.4,1F,S13W20,5984,,0,-1.0,0,-1.0,No,,,G7,1990-03-25T04:44:00.000,0.00834,0.00607,,11.1,49.3,12.2,48.6,None,,,,,,,,0,,,,1.2e-05
1335,1990-03-25T11:03:00.000,1990-03-25T11:21:00.000,1990-03-25T11:40:00.000,1.32e-05,16.0,M1.3,SF,S13W32,5984,Yes,0,-1.0,0,-1.0,No,,,G7,1990-03-25T11:33:00.000,0.0134,0.0113,,14.1,49.4,14.5,48.8,None,,,,,,,,0,,,,6.4e-06
1336,1990-03-25T16:08:00.000,1990-03-25T17:59:00.000,1990-03-25T18:17:00.000,9.27e-06,16.0,C9.2,1N,S11W26,5984,,0,-1.0,0,-1.0,No,,,G7,1990-03-25T18:08:00.000,0.0318,0.0224,,13.2,49.3,13.8,48.7,None,,,,,,,,0,,,,1.3000000000000001e-05
1337,1990-03-25T19:40:00.000,1990-03-25T19:53:00.000,1990-03-25T20:35:00.000,2.72e-05,16.0,M2.7,1B,S12W29,5984,,0,-1.0,0,-1.0,No,,,G7,1990-03-25T20:04:00.000,0.0206,0.0176,,15.9,49.3,15.9,49.0,None,,,,,,,,0,,,,2.7000000000000002e-05
1338,1990-03-26T03:35:00.000,1990-03-26T03:40:00.000,1990-03-26T03:45:00.000,3.47e-05,-1.0,M3.4,1N,S13W30,5984,,0,-1.0,0,-1.0,No,,,G7,1990-03-26T03:45:00.000,0.0137,0.0121,,17.2,49.4,16.8,49.1,None,,,,,,,,0,,,,2.7000000000000002e-05
1339,1990-03-26T04:40:00.000,1990-03-26T05:08:00.000,1990-03-26T05:20:00.000,2.62e-05,16.0,M2.6,1N,S13W35,5984,,0,-1.0,0,-1.0,No,,,G7,1990-03-26T05:20:00.000,0.0387,0.0249,,11.8,49.5,12.7,49.1,None,,,,,,,,0,,,,3.5000000000000004e-05
1340,1990-03-26T05:26:00.000,1990-03-26T05:35:00.000,1990-03-26T05:41:00.000,2.28e-05,-1.0,M2.2,SN,S13W35,5984,,0,-1.0,0,-1.0,No,,,G7,1990-03-26T05:41:00.000,0.0181,0.00536,,12.5,49.4,13.3,49.0,None,,,,,,,,0,,,,3.5000000000000004e-05
1341,1990-03-26T13:14:00.000,1990-03-26T13:23:00.000,1990-03-26T13:43:00.000,9.04e-06,16.0,C9.0,SF,S13W41,5984,Yes,0,-1.0,0,-1.0,No,,,G7,1990-03-26T13:42:00.000,0.0125,0.00831,,12.7,49.2,13.4,48.7,None,,,,,,,,0,,,,3.5000000000000004e-05
1342,1990-03-27T07:27:00.000,1990-03-27T07:53:00.000,1990-03-27T08:19:00.000,3.94e-06,16.0,C3.9,SF,S16W25,5987,Yes,0,-1.0,0,-1.0,No,,,G7,1990-03-27T08:19:00.000,0.0102,0.00394,,6.34,49.2,7.65,48.6,None,,,,,,,,0,,,,1.1000000000000001e-05
1343,1990-03-27T10:07:00.000,1990-03-27T12:22:00.000,1990-03-27T12:43:00.000,6.81e-06,16.0,C6.8,1N,N22W48,5991,Yes,0,-1.0,0,-1.0,No,,,G7,1990-03-27T12:43:00.000,0.0393,0.0222,,8.45,49.4,9.87,48.7,None,,,,,,,,0,,,,1.1000000000000001e-05
1344,1990-03-27T13:25:00.000,1990-03-27T13:46:00.000,1990-03-27T13:57:00.000,6.87e-06,-1.0,C6.8,1N,S10W50,5984,Yes,0,-1.0,0,-1.0,No,,,G7,1990-03-27T13:57:00.000,0.00849,0.004,,9.22,49.4,10.6,48.8,None,,,,,,,,0,,,,1.1000000000000001e-05
1345,1990-03-27T19:49:00.000,1990-03-27T20:14:00.000,1990-03-27T20:31:00.000,9.59e-06,16.0,C9.5,1F,S14W56,5984,,0,-1.0,0,-1.0,No,,,G7,1990-03-27T20:31:00.000,0.0146,0.00915,,12.2,49.1,13.1,48.6,None,,,,,,,,0,,,,1.1000000000000001e-05
1346,1990-03-28T07:27:00.000,1990-03-28T07:50:00.000,1990-03-28T15:03:00.000,4.23e-05,-1.0,M4.2,2N,S04W37,5988,Yes,0,-1.0,1,3.0,No,,,G7,1990-03-28T08:09:00.000,0.0616,0.0545,,11.0,49.6,12.1,49.2,ProtonFlare 1,990-03-28T16:50:00.000,,,,,,,1,,,,9.499999999999999e-06
1347,1990-03-28T20:27:00.000,1990-03-28T20:43:00.000,1990-03-28T20:55:00.000,7.05e-06,16.0,C7.0,SF,S13W69,5984,,0,-1.0,0,-1.0,No,,,G7,1990-03-28T20:54:00.000,0.00807,0.00408,,9.78,49.4,11.1,48.7,None,,,,,,,,0,,,,4.2000000000000004e-05
1348,1990-03-29T09:44:00.000,1990-03-29T10:08:00.000,1990-03-29T10:20:00.000,5.5e-06,16.0,C5.4,SF,N14E90,6001,Yes,0,-1.0,0,-1.0,No,,,G7,1990-03-29T10:20:00.000,0.00905,0.00548,,7.57,49.4,8.99,48.8,None,,,,,,,,0,,,,4.2000000000000004e-05
1350,1990-03-31T11:05:00.000,1990-03-31T11:25:00.000,1990-03-31T11:35:00.000,8.75e-06,-1.0,C8.7,SF,S03W78,5988,Yes,0,-1.0,0,-1.0,No,,,G7,1990-03-31T11:34:00.000,0.00966,0.00624,,11.4,49.2,12.4,48.7,None,,,,,,,,0,,,,1.8e-05
1351,1990-04-01T04:36:00.000,1990-04-01T05:36:00.000,1990-04-01T07:52:00.000,4.14e-05,16.0,M4.1,SF,S17W90,5987,,0,-1.0,0,-1.0,No,,,G7,1990-04-01T06:04:00.000,0.105,0.0992,,14.3,49.6,14.7,49.3,None,,,,,,,,0,,,,8.7e-06
1354,1990-04-03T08:13:00.000,1990-04-03T08:41:00.000,1990-04-03T09:45:00.000,7.38e-05,16.0,M7.3,1B,N24E90,6007,Yes,0,-1.0,1,25.0,No,,,G7,1990-04-03T08:58:00.000,0.12,0.11,,17.6,49.8,17.1,49.5,None,,,,,,,,0,,,,1.8e-05
1355,1990-04-03T17:03:00.000,1990-04-03T17:25:00.000,1990-04-03T19:12:00.000,0.000106,16.0,X1.0,1N,N23E82,6007,Yes,1,4.0,0,-1.0,No,,,G7,1990-04-03T17:37:00.000,0.115,0.113,,21.5,49.9,20.0,49.6,ProtonFlare 1,990-04-07T06:25:00.000,,,,,,,1,,,,7.3e-05
1356,1990-04-04T13:07:00.000,1990-04-04T13:37:00.000,1990-04-04T14:38:00.000,7.13e-05,16.0,M7.1,SN,N22E72,6007,Yes,0,-1.0,1,32.0,No,,,G7,1990-04-04T13:51:00.000,0.11,0.106,,15.7,49.8,15.8,49.5,None,,,,,,,,0,,,,0.0001
1357,1990-04-05T13:33:00.000,1990-04-05T13:45:00.000,1990-04-05T14:05:00.000,3.26e-05,16.0,M3.2,1N,N23E62,6007,Yes,0,-1.0,0,-1.0,No,,,G7,1990-04-05T13:53:00.000,0.0149,0.0139,,19.0,49.3,18.2,49.1,None,,,,,,,,0,,,,7.1e-05
1358,1990-04-06T06:06:00.000,1990-04-06T07:42:00.000,1990-04-06T08:20:00.000,3.49e-06,16.0,C3.4,SF,N23E51,6007,Yes,0,-1.0,0,-1.0,No,,,G7,1990-04-06T08:17:00.000,0.0225,0.0161,,9.47,49.0,10.8,48.4,None,,,,,,,,0,,,,3.2000000000000005e-05
1359,1990-04-07T15:00:00.000,1990-04-07T15:32:00.000,1990-04-07T15:51:00.000,9.55e-06,16.0,C9.5,1N,N32E62,6012,Yes,1,13.0,0,-1.0,No,,,G7,1990-04-07T15:51:00.000,0.0164,0.0148,,10.4,49.2,11.6,48.7,None,,,,,,,,0,,,,1.8e-06
1360,1990-04-08T03:33:00.000,1990-04-08T04:15:00.000,1990-04-08T04:57:00.000,1.53e-05,16.0,M1.5,2N,N24E29,6007,,0,-1.0,0,-1.0,No,,,G7,1990-04-08T04:42:00.000,0.0373,0.034,,10.7,49.3,11.8,48.9,None,,,,,,,,0,,,,9.499999999999999e-06
1362,1990-04-10T11:37:00.000,1990-04-10T12:14:00.000,1990-04-10T14:01:00.000,1.14e-05,16.0,M1.1,1N,N24W04,6007,Yes,0,-1.0,1,9.0,No,,,G7,1990-04-10T12:37:00.000,0.0267,0.024,,10.2,49.4,11.4,48.9,ProtonFlare 1,990-04-11T16:55:00.000,,,,,,,1,,,,6.099999999999999e-06
1367,1990-04-13T11:41:00.000,1990-04-13T11:59:00.000,1990-04-13T12:17:00.000,7.06e-06,16.0,C7.0,SF,S34E50,6018,Yes,0,-1.0,0,-1.0,No,,,G7,1990-04-13T12:17:00.000,0.0108,0.00597,,11.6,49.2,12.6,48.6,None,,,,,,,,0,,,,9.499999999999999e-06
1368,1990-04-13T21:14:00.000,1990-04-13T21:26:00.000,1990-04-13T21:34:00.000,4.92e-05,-1.0,M4.9,1B,S34E43,6018,,0,-1.0,0,-1.0,No,,,G7,1990-04-13T21:29:00.000,0.0206,0.0193,,17.9,49.6,17.4,49.3,None,,,,,,,,0,,,,9.499999999999999e-06
