Start,Year,Maximum,Proton Flux,Associated CME,Flare Max.,Importance,Location,Region#,Type II,Type III,Type IV,*,,,,,,,,,,,,,,,,,,,,,
May 22/1420,2013,May 23/0650,1660,NW/22 1325,May 22/1322,M5/3N,N15W70,1745,1,0,1,,,,,,,,,,,,,,,,,,,,,,
Jun 23/2014,2013,Jun 24/0520,14,SE/21/0312,Jun 21/0314,M2/1F,S16E66,1777,0,1,1,,,,,,,,,,,,,,,,,,,,,,
Sep 30/0505,2013,Sep 30/2005,182,NW/29 2212,Sep 29/2337,,N15W40,,0,1,0,check again,,,,,,,,,,,,,,,,,,,,,
Dec 28/2150,2013,Dec 28/2315,29,SE/28 1736,Dec 28/1802,C9/SN,S18E07,1936,0,0,0,,,,,,,,,,,,,,,,,,,,,,
Jan 06/0915,2014,Jan 06/1600,42,SE/06 0800,,,S15E90,1936,,,,,,,,,,,,,,,,,,,,,,,,,
Jan 06/0915,2014,Jan 09/0340,1033,SW/07 1824,Jan 07/1832,X1/2N,S15W11,1944,1,0,0,,,,,,,,,,,,,,,,,,,,,,
Feb 20/0850,2014,Feb 20/0925,22,SW/20 0800,Feb 20/0756,M3/SN,S15W67,1976,1,1,0,,,,,,,,,,,,,,,,,,,,,,
Feb 25/1355,2014,Feb 28/0845,103,SE/25/0130 ,Feb 25/0049,X4/2B,S12E82,1990,1,1,1,,,,,,,,,,,,,,,,,,,,,,
Jun 18/1135,2015,Jun 18/1445,16,SW/18 0125,Jun 18/0127,M1.3,S13W102,2365,0,1,0,CTM?,,,,,,,,,,,,,,,,,,,,,
Oct 29/0550,2015,Oct 29/1000,23,SW/29 0236,,,,2434,,,,,,,,,,,,,,,,,,,,,,,,,
Jan 02/0430,2016,Jan 02/0450,21,SW/02 2324,Jan 02/0011,M2.0,S21W73,2473,1,0,1,,,,,,,,,,,,,,,,,,,,,,
Sep 05/0751,2017,Sep 05/1930,210,SW/04 2048,Sep 04/2033,M5.0,S08W16,2673,0,0,0,,,,,,,,,,,,,,,,,,,,,,
